
expiry	strike	type	symbol	time	askclose	askhigh	asklow	askopen	asksize	bidclose	bidhigh	bidlow	bidopen	bidsize	close	high	low	open	volume
0	2024-03-15	12550.0	Call	NDX YGTA18KP4LJI|NDX 31	2023-11-29 17:00:00	3680.60	3689.80	3664.20	3676.10	1.0	3666.30	3668.60	3629.70	3629.70	1.0	3673.450	3679.200	3646.950	3652.900	NaN
1	2024-03-15	17450.0	Put	NDX 32FXA6QSXQF4E|NDX 31	2023-11-29 17:00:00	1327.50	1355.60	1325.80	1355.60	1.0	1315.90	1329.20	1295.50	1298.60	1.0	1321.700	1342.400	1310.650	1327.100	NaN
2	2023-12-15	18725.0	Call	NDX YEBOEYJJZ3HQ|NDX 31	2023-11-29 17:00:00	0.55	1.50	0.45	0.45	18.0	0.05	0.05	0.05	0.05	1.0	0.300	0.775	0.250	0.250	NaN
3	2024-03-15	11200.0	Put	NDX 32FXA6JAVBZN2|NDX 31	2023-11-29 17:00:00	18.40	18.40	18.20	18.30	4.0	16.40	16.60	16.30	16.50	2.0	17.400	17.500	17.250	17.400	NaN
4	2024-03-15	13400.0	Call	NDX YGTA13FB1JCE|NDX 31	2023-11-29 17:00:00	2873.30	2881.40	2857.60	2870.70	1.0	2859.40	2861.60	2821.30	2821.30	1.0	2866.350	2871.500	2839.450	2846.000	NaN
5	2023-12-15	16140.0	Put	NDX 32DFOI7WWTX1Q|NDX 31	2023-11-29 17:00:00	252.60	264.80	248.40	261.60	1.0	244.90	256.20	241.80	256.20	1.0	248.750	260.500	245.100	258.900	NaN
6	2024-06-21	9200.0	Call	NDX YJHRU92WHEZY|NDX 31	2023-11-29 17:00:00	7061.60	7128.10	7045.00	7116.50	1.0	7044.10	7046.00	6954.20	6954.20	1.0	7052.850	7087.050	6999.600	7035.350	NaN
7	2023-12-01	16750.0	Call	NDXP YDXW3H3FNYFI|NDX 31	2023-11-29 16:00:00	0.65	0.85	0.65	0.85	11.0	0.20	0.45	0.05	0.45	12.0	0.425	0.650	0.350	0.650	NaN
8	2023-12-01	17050.0	Put	NDXP 32D1W8X7LJTAM|NDX 31	2023-11-29 16:00:00	1044.40	1132.20	1042.60	1076.30	1.0	1030.10	1046.50	970.30	1020.40	1.0	1037.250	1089.350	1006.450	1048.350	NaN
9	2023-12-01	14490.0	Put	NDXP 32D1W8W19E4NI|NDX 31	2023-11-29 16:00:00	0.75	0.90	0.75	0.75	2.0	0.25	0.30	0.05	0.30	7.0	0.500	0.600	0.400	0.525	NaN
10	2023-12-15	9900.0	Call	NDX YEBOCKZ5P60E|NDX 31	2023-11-29 17:00:00	6135.00	6144.40	6118.80	6144.40	1.0	6121.00	6123.40	6084.30	6089.70	1.0	6128.000	6133.900	6101.550	6117.050	NaN
